#TYPE Selected.System.ServiceProcess.ServiceController
"Name","StartType"
"AudioEndpointBuilder","Automatic"
"Audiosrv","Automatic"
"BFE","Automatic"
"BITS","Automatic"
"BrokerInfrastructure","Automatic"
"CDPSvc","Automatic"
"CDPUserSvc_49e71","Automatic"
"CoreMessagingRegistrar","Automatic"
"CryptSvc","Automatic"
"DcomLaunch","Automatic"
"Dhcp","Automatic"
"DiagTrack","Automatic"
"Dnscache","Automatic"
"DPS","Automatic"
"DusmSvc","Automatic"
"EventLog","Automatic"
"EventSystem","Automatic"
"FontCache","Automatic"
"iphlpsvc","Automatic"
"LanmanServer","Automatic"
"LanmanWorkstation","Automatic"
"LSM","Automatic"
"mpssvc","Automatic"
"NlaSvc","Automatic"
"nsi","Automatic"
"OneSyncSvc_49e71","Automatic"
"Power","Automatic"
"ProfSvc","Automatic"
"RasMan","Automatic"
"RpcEptMapper","Automatic"
"RpcSs","Automatic"
"SamSs","Automatic"
"Schedule","Automatic"
"SENS","Automatic"
"SgrmBroker","Automatic"
"ShellHWDetection","Automatic"
"Spooler","Automatic"
"SysMain","Automatic"
"SystemEventsBroker","Automatic"
"Themes","Automatic"
"TrkWks","Automatic"
"UserManager","Automatic"
"UsoSvc","Automatic"
"VGAuthService","Automatic"
"VMTools","Automatic"
"VMware Physical Disk Helper Service","Automatic"
"Wcmsvc","Automatic"
"WinDefend","Automatic"
"Winmgmt","Automatic"
"WpnService","Automatic"
"WpnUserService_49e71","Automatic"
